Config,FM ID,First Name,Second Name,Name,Permanent Club ID,Permanent Club Name,Based Club ID,Based Club Name,Loan Club ID,Loan Club Name,Date Of Birth,Nationality ID,Nationality Name,Second Nationality ID,Second Nationality Name,Third Nationality ID,Third Nationality Name,City Of Birth ID,City Of Birth Name,GK,DL,DC,DR,WBL,WBR,DM,MC,ML,MR,AML,AMC,AMR,SC,Current Ability,Potential Ability,Left Foot,Right Foot,NFE,Squad Number
"[{""a"":""Person"",""m"":""Person"",""k"":410270,""r"":410270},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":5402513,""r"":410270},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":249605,""r"":410270},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":249605,""r"":410270}]",13201310,Béchir,Ben Saïd,Béchir Ben Saïd,90899,Espérance Sportive de Tunis,90899,Espérance Sportive de Tunis,,,1994-11-29,1248894,Tunisia,,,,,53288,Gabès,20,,,,,,,,,,,,,,115,125,3,20,,
"[{""a"":""Person"",""m"":""Person"",""k"":410484,""r"":410484},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":249814,""r"":410484},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":249814,""r"":410484},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":249814,""r"":410484}]",13202441,Raed,Fadaa,Raed Fadaa,90899,Espérance Sportive de Tunis,90899,Espérance Sportive de Tunis,,,1997-05-20,1248894,Tunisia,,,,,53285,Kerker,1,5,,18,10,18,,8,12,20,12,10,15,,85,100,5,20,,32
"[{""a"":""Person"",""m"":""Person"",""k"":410485,""r"":410485},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":5710514,""r"":410485},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":249815,""r"":410485},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":249815,""r"":410485}]",13202442,Chiheb,Jebali,Chiheb Jebali,90899,Espérance Sportive de Tunis,90899,Espérance Sportive de Tunis,,,1996-05-26,1248894,Tunisia,,,,,53258,Le Kef,1,,,,,,,14,,15,12,20,20,12,110,115,20,7,,
"[{""a"":""Person"",""m"":""Person"",""k"":410964,""r"":410964},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":5402496,""r"":410964},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":250283,""r"":410964},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":250283,""r"":410964}]",13206636,Yassine,Meriah,Yassine Meriah,90899,Espérance Sportive de Tunis,90899,Espérance Sportive de Tunis,,,1993-07-02,1248894,Tunisia,,,,,39845,Tunis,,,20,9,,,8,,,,,,,,120,130,8,20,,5
"[{""a"":""Person"",""m"":""Person"",""k"":411730,""r"":411730},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":5434859,""r"":411730},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":251033,""r"":411730},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":251033,""r"":411730}]",13210880,Hamza,Jelassi,Hamza Jelassi,90899,Espérance Sportive de Tunis,90899,Espérance Sportive de Tunis,,,1991-09-29,1248894,Tunisia,,,,,,,,,20,8,,,15,10,,,,,,,110,120,7,20,,
"[{""a"":""Person"",""m"":""Person"",""k"":452691,""r"":452691},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":5692508,""r"":452691},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":301173,""r"":452691},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":301173,""r"":452691}]",18101565,Mohamed,Mouhli,Mohamed Mouhli,90899,Espérance Sportive de Tunis,90899,Espérance Sportive de Tunis,,,1998-09-13,1248688,Belgium,1248813,Morocco,1248894,Tunisia,38751,Liège,,,,,,,,5,15,,20,12,13,11,105,115,10,20,,
"[{""a"":""Person"",""m"":""Person"",""k"":468873,""r"":468873},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":317962,""r"":468873},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":317962,""r"":468873},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":317962,""r"":468873}]",19220269,Rodrigo,Rodrigues,Rodrigo Rodrigues,90899,Espérance Sportive de Tunis,90899,Espérance Sportive de Tunis,,,1996-06-18,1248698,Brazil,,,,,40085,Fortaleza (CE),,,,,,,,,,,,9,,20,110,115,9,20,,9
"[{""a"":""Person"",""m"":""Person"",""k"":470753,""r"":470753},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":319840,""r"":470753},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":319840,""r"":470753},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":319840,""r"":470753}]",19260156,Yan,Sasse,Yan Sasse,90899,Espérance Sportive de Tunis,90899,Espérance Sportive de Tunis,,,1997-06-24,1248698,Brazil,,,,,39733,Porto Alegre (RS),,,,,,,,5,,15,12,17,20,9,118,125,20,9,,10
"[{""a"":""Person"",""m"":""Person"",""k"":741210,""r"":741210},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":5404316,""r"":741210},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":621139,""r"":741210},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":621139,""r"":741210}]",52061317,Ayman,Ben Mohamed,Ayman Ben Mohamed,90899,Espérance Sportive de Tunis,90899,Espérance Sportive de Tunis,,,1994-12-08,1248894,Tunisia,1248842,Republic of Ireland,,,39651,London,,20,,,18,,8,12,15,7,12,,8,,103,115,20,7,,
"[{""a"":""Person"",""m"":""Person"",""k"":916121,""r"":916121},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":5458515,""r"":916121},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":818185,""r"":916121},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":818185,""r"":916121}]",85046327,Larry,Azouni,Larry Azouni,90899,Espérance Sportive de Tunis,90899,Espérance Sportive de Tunis,,,1994-03-23,1248894,Tunisia,1248747,France,,,38933,Marseille,,,,11,,9,20,17,,9,,12,,,110,125,8,20,,
"[{""a"":""Person"",""m"":""Person"",""k"":956383,""r"":956383},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":5658618,""r"":956383},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":861307,""r"":956383},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":861307,""r"":956383}]",93123229,Elyas,Bouzaiene,Elyas Bouzaiene,90899,Espérance Sportive de Tunis,90899,Espérance Sportive de Tunis,,,1997-09-08,1248880,Sweden,1248894,Tunisia,1248746,Finland,975816,Huddinge,,12,,20,14,20,,,,12,,,8,,105,115,10,20,,
"[{""a"":""Person"",""m"":""Person"",""k"":984984,""r"":984984},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":5402490,""r"":984984},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":252510,""r"":984984},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":252510,""r"":984984}]",13229913,Mohamed,Ben Ali,Mohamed Ben Ali,90899,Espérance Sportive de Tunis,90899,Espérance Sportive de Tunis,,,1995-02-16,1248894,Tunisia,,,,,44238,Ariana,,12,,20,11,15,,,,10,,,,,105,110,6,20,,2
"[{""a"":""Person"",""m"":""Person"",""k"":985262,""r"":985262},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":252788,""r"":985262},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":252788,""r"":985262},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":252788,""r"":985262}]",13232010,Mohamed,Tougai,Mohamed Tougai,90899,Espérance Sportive de Tunis,90899,Espérance Sportive de Tunis,,,2000-01-22,1248672,Algeria,,,,,39798,Alger,,,20,7,,,10,,,,,,,,125,135,9,20,,15
"[{""a"":""Person"",""m"":""Person"",""k"":985295,""r"":985295},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":252821,""r"":985295},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":252821,""r"":985295},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":252821,""r"":985295}]",13232231,Mohamed Sedki,Debchi,Sedki Debchi (Mohamed Sedki Debchi),90899,Espérance Sportive de Tunis,90899,Espérance Sportive de Tunis,,,1999-10-28,1248894,Tunisia,,,,,,,20,,,,,,,,,,,,,,95,115,3,20,,26
"[{""a"":""Person"",""m"":""Person"",""k"":985297,""r"":985297},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":5380739,""r"":985297},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":252823,""r"":985297},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":252823,""r"":985297}]",13232238,Amine,Ben Hamida,Amine Ben Hamida,90899,Espérance Sportive de Tunis,90899,Espérance Sportive de Tunis,,,1995-12-15,1248894,Tunisia,,,,,,,,20,14,,16,,10,10,10,,8,,,,108,110,20,6,,20
"[{""a"":""Person"",""m"":""Person"",""k"":1017343,""r"":1017343},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":5051375,""r"":1017343},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":581242,""r"":1017343},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":581242,""r"":1017343}]",43609867,Bilel,Sahli,Bilel Sahli,90899,Espérance Sportive de Tunis,90899,Espérance Sportive de Tunis,,,2003-04-16,1248894,Tunisia,1248747,France,,,38897,Aubervilliers,,,,,,,,,12,12,18,10,20,15,85,110,8,20,,
"[{""a"":""Person"",""m"":""Person"",""k"":1112199,""r"":1112199},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":906021,""r"":1112199},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":906018,""r"":1112199},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":906027,""r"":1112199}]",2000035741,Zakaria,El Ayeb,Zakaria El Ayeb,90899,Espérance Sportive de Tunis,90899,Espérance Sportive de Tunis,,,2003-01-15,1248894,Tunisia,,,,,39845,Tunis,,,,,,,17,20,,,,12,,,102,130,8,20,,17
"[{""a"":""Person"",""m"":""Person"",""k"":1131127,""r"":1131127},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":922768,""r"":1131127},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":922764,""r"":1131127},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":922775,""r"":1131127}]",2000054577,Houssem,Teka,Houssem Teka,90899,Espérance Sportive de Tunis,90899,Espérance Sportive de Tunis,,,2000-08-16,1248894,Tunisia,,,,,48640,Monastir,,,,12,,12,16,20,,12,,11,10,,113,125,8,20,,8
"[{""a"":""Person"",""m"":""Person"",""k"":1137092,""r"":1137092},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":5454649,""r"":1137092},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":928223,""r"":1137092},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":928234,""r"":1137092}]",12093340,Abdramane,Konaté,Abdramane Konaté,90899,Espérance Sportive de Tunis,90899,Espérance Sportive de Tunis,,,2006-06-25,1248776,Ivory Coast,,,,,39809,Abidjan,,,,,,,15,20,10,8,11,16,8,,110,140,7,20,,
"[{""a"":""Person"",""m"":""Person"",""k"":1182154,""r"":1182154},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":966285,""r"":1182154},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":966282,""r"":1182154},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":966291,""r"":1182154}]",2000104317,Mohamed,Aïfaoui,Mohamed Aïfaoui,90899,Espérance Sportive de Tunis,90899,Espérance Sportive de Tunis,,,2003-03-02,1248894,Tunisia,,,,,,,20,,,,,,,,,,,,,,80,105,5,20,,
"[{""a"":""Person"",""m"":""Person"",""k"":1182184,""r"":1182184},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":966315,""r"":1182184},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":966312,""r"":1182184},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":966321,""r"":1182184}]",2000104347,Raed,Bouchniba,Raed Bouchniba,90899,Espérance Sportive de Tunis,90899,Espérance Sportive de Tunis,,,2003-09-25,1248894,Tunisia,,,,,39978,Sousse,,10,13,20,,15,9,,,12,,,8,7,105,120,8,20,,13
"[{""a"":""Person"",""m"":""Person"",""k"":1183310,""r"":1183310},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":5448502,""r"":1183310},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":967358,""r"":1183310},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":967367,""r"":1183310}]",2000105473,Elias,Mokwana,Elias Mokwana,90899,Espérance Sportive de Tunis,90899,Espérance Sportive de Tunis,,,1999-09-08,1248870,South Africa,,,,,,,,,,,,,,,,15,17,10,20,10,115,135,12,20,,
"[{""a"":""Person"",""m"":""Person"",""k"":1197043,""r"":1197043},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":5666267,""r"":1197043},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":978568,""r"":1197043},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":978577,""r"":1197043}]",2000118259,Achref,Jebri,Achref Jebri,90899,Espérance Sportive de Tunis,90899,Espérance Sportive de Tunis,,,2001-12-26,1248894,Tunisia,,,,,54553,Ras Jebel,,,,,,,,,12,12,17,8,14,20,105,115,6,20,,
"[{""a"":""Person"",""m"":""Person"",""k"":1200416,""r"":1200416},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":981548,""r"":1200416},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":981545,""r"":1200416},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":981554,""r"":1200416}]",2000121537,Mohamed Wael,Derbali,Mohamed Wael Derbali,90899,Espérance Sportive de Tunis,90899,Espérance Sportive de Tunis,,,2003-06-18,1248894,Tunisia,1248747,France,,,39032,Toulouse,,,,,,,12,20,10,,10,15,,,105,135,8,20,,5
"[{""a"":""Person"",""m"":""Person"",""k"":1212297,""r"":1212297},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":991926,""r"":1212297},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":991923,""r"":1212297},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":991932,""r"":1212297}]",2000133193,Rami,Seghiri,Rami Seghiri,90899,Espérance Sportive de Tunis,90899,Espérance Sportive de Tunis,,,2005-06-21,1248894,Tunisia,,,,,,,,,20,,,,,,,,,,,,68,-5,5,20,,
"[{""a"":""Person"",""m"":""Person"",""k"":1212298,""r"":1212298},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":991927,""r"":1212298},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":991924,""r"":1212298},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":991933,""r"":1212298}]",2000133194,Louay,Azzouzi,Louay Azzouzi,90899,Espérance Sportive de Tunis,90899,Espérance Sportive de Tunis,,,2005-02-01,1248894,Tunisia,,,,,,,,,,,,,,,16,12,20,8,12,12,70,-55,6,20,,
"[{""a"":""Person"",""m"":""Person"",""k"":1214726,""r"":1214726},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":993885,""r"":1214726},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":993882,""r"":1214726},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":993891,""r"":1214726}]",2000135621,Wael,Chaieb,Wael Chaieb,90899,Espérance Sportive de Tunis,90899,Espérance Sportive de Tunis,,,2004-01-01,1248894,Tunisia,,,,,,,,,,,,,,14,20,12,20,14,12,,80,95,5,20,,
"[{""a"":""Person"",""m"":""Person"",""k"":1214737,""r"":1214737},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":993896,""r"":1214737},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":993893,""r"":1214737},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":993902,""r"":1214737}]",2000135632,Amanallah,Memmiche,Amanallah Memmiche,90899,Espérance Sportive de Tunis,90899,Espérance Sportive de Tunis,,,2004-04-20,1248894,Tunisia,,,,,44238,Ariana,20,,,,,,,,,,,,,,105,125,8,20,,1
"[{""a"":""Person"",""m"":""Person"",""k"":1216101,""r"":1216101},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":994987,""r"":1216101},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":994984,""r"":1216101},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":994993,""r"":1216101}]",2000136994,Khalil,Guennichi,Khalil Guennichi,90899,Espérance Sportive de Tunis,90899,Espérance Sportive de Tunis,,,2002-12-11,1248894,Tunisia,,,,,,,,,15,,,,20,15,,,,,,,105,120,8,20,,34
"[{""a"":""Person"",""m"":""Person"",""k"":1216798,""r"":1216798},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":995556,""r"":1216798},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":995553,""r"":1216798},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":995562,""r"":1216798}]",2000137690,Mohamed Rayen,Hamrouni,Mohamed Rayen Hamrouni,90899,Espérance Sportive de Tunis,90899,Espérance Sportive de Tunis,,,2003-01-29,1248894,Tunisia,,,,,,,,,,,,,,,17,12,20,10,16,12,95,110,7,20,,
"[{""a"":""Person"",""m"":""Person"",""k"":1259743,""r"":1259743},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":5119189,""r"":1259743},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":1033791,""r"":1259743},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":1033800,""r"":1259743}]",2000180231,Onuche,Ogbelu,Onuche Ogbelu,90899,Espérance Sportive de Tunis,90899,Espérance Sportive de Tunis,,,2003-05-10,1248823,Nigeria,,,,,,,,,,,,,18,20,8,7,,,,,110,135,7,20,,14
"[{""a"":""Person"",""m"":""Person"",""k"":1271062,""r"":1271062},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":1043841,""r"":1271062},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":1043838,""r"":1271062},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":1043847,""r"":1271062}]",2000191475,Yassine,Boukhris,Yassine Boukhris,90899,Espérance Sportive de Tunis,90899,Espérance Sportive de Tunis,,,,1248894,Tunisia,,,,,,,,20,,,12,,,,,,,,,,75,-6,20,6,,
"[{""a"":""Person"",""m"":""Person"",""k"":1271064,""r"":1271064},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":1043843,""r"":1271064},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":1043840,""r"":1271064},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":1043849,""r"":1271064}]",2000191477,Youssef,Ben Hassine,Youssef Ben Hassine,90899,Espérance Sportive de Tunis,90899,Espérance Sportive de Tunis,,,,1248894,Tunisia,,,,,,,,,20,,,,,,,,,,,,50,-45,,,,
"[{""a"":""Person"",""m"":""Person"",""k"":1271065,""r"":1271065},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":1043844,""r"":1271065},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":1043841,""r"":1271065},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":1043850,""r"":1271065}]",2000191478,Akrem,Tabboubi,Akrem Tabboubi,90899,Espérance Sportive de Tunis,90899,Espérance Sportive de Tunis,,,,1248894,Tunisia,,,,,,,,,,,,,15,20,,,,,,,60,-5,,,,
"[{""a"":""Person"",""m"":""Person"",""k"":1271066,""r"":1271066},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":1043845,""r"":1271066},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":1043842,""r"":1271066},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":1043851,""r"":1271066}]",2000191479,Rayen,Rabia,Rayen Rabia,90899,Espérance Sportive de Tunis,90899,Espérance Sportive de Tunis,,,,1248894,Tunisia,,,,,,,,,,,,,,,,,,,,20,60,-55,,,,
"[{""a"":""Person"",""m"":""Person"",""k"":1271067,""r"":1271067},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":1043846,""r"":1271067},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":1043843,""r"":1271067},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":1043852,""r"":1271067}]",2000191480,Karim,Guizani,Karim Guizani,90899,Espérance Sportive de Tunis,90899,Espérance Sportive de Tunis,,,,1248894,Tunisia,,,,,,,,,,,,,20,15,,,,,,,60,-5,,,,
"[{""a"":""Person"",""m"":""Person"",""k"":1271068,""r"":1271068},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":1043847,""r"":1271068},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":1043844,""r"":1271068},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":1043853,""r"":1271068}]",2000191481,Anas,Amdouni,Anas Amdouni,90899,Espérance Sportive de Tunis,90899,Espérance Sportive de Tunis,,,,1248894,Tunisia,,,,,,,,,,,,,,,,12,,,20,,60,-55,,,,
"[{""a"":""Person"",""m"":""Person"",""k"":1271069,""r"":1271069},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":1043848,""r"":1271069},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":1043845,""r"":1271069},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":1043854,""r"":1271069}]",2000191482,Mohamed Rayen,Ellafi,Mohamed Rayen Ellafi,90899,Espérance Sportive de Tunis,90899,Espérance Sportive de Tunis,,,2005-03-03,1248894,Tunisia,,,,,,,,,,20,,,,,,,,,,,70,-55,,,,
"[{""a"":""Person"",""m"":""Person"",""k"":1271070,""r"":1271070},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":1043849,""r"":1271070},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":1043846,""r"":1271070},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":1043855,""r"":1271070}]",2000191483,Taha Yassine,Abdelli,Taha Yassine Abdelli,90899,Espérance Sportive de Tunis,90899,Espérance Sportive de Tunis,,,,1248894,Tunisia,,,,,,,,,,,,,15,20,,,,,,,60,-55,,,,
"[{""a"":""Person"",""m"":""Person"",""k"":1271071,""r"":1271071},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":1043850,""r"":1271071},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":1043847,""r"":1271071},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":1043856,""r"":1271071}]",2000191484,Mohamed,Aziz,Mohamed Aziz,90899,Espérance Sportive de Tunis,90899,Espérance Sportive de Tunis,,,,1248894,Tunisia,,,,,,,,,,,,,,,12,,20,,,,60,-5,,,,
"[{""a"":""Person"",""m"":""Person"",""k"":1360503,""r"":1360503},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":5425841,""r"":1360503},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":1125806,""r"":1360503},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":1124815,""r"":1360503}]",2000279663,Haytham,Dhaou,Haytham Dhaou,90899,Espérance Sportive de Tunis,90899,Espérance Sportive de Tunis,,,2005-01-12,1248894,Tunisia,,,,,48641,Zarzis,,,,,,,,7,15,12,20,15,12,,87,125,7,20,,
"[{""a"":""Person"",""m"":""Person"",""k"":1397197,""r"":1397197},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":5163213,""r"":1397197},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":1158691,""r"":1397197},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":1157715,""r"":1397197}]",2000316203,Zinedine,Kada,Zinedine Kada,90899,Espérance Sportive de Tunis,90899,Espérance Sportive de Tunis,,,2005-08-01,1248894,Tunisia,,,,,50609,Radès,1,,,,,,,,8,,17,10,12,20,88,115,8,20,,7
"[{""a"":""Person"",""m"":""Person"",""k"":1397198,""r"":1397198},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":5163216,""r"":1397198},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":1158692,""r"":1397198},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":1157716,""r"":1397198}]",2000316204,Wajdi,Issaoui,Wajdi Issaoui,90899,Espérance Sportive de Tunis,90899,Espérance Sportive de Tunis,,,2005-01-08,1248894,Tunisia,,,,,39845,Tunis,,,,,,,8,17,10,8,15,20,8,,85,110,6,20,,
"[{""a"":""Person"",""m"":""Person"",""k"":1430918,""r"":1430918},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":5302089,""r"":1430918},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":1186159,""r"":1430918},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":1185184,""r"":1430918}]",2000349498,Koussay,Aouf,Koussay Aouf,90899,Espérance Sportive de Tunis,90899,Espérance Sportive de Tunis,,,2004-01-09,1248894,Tunisia,,,,,,,,,,17,,,20,15,,,,,,,80,100,,20,,
"[{""a"":""Person"",""m"":""Person"",""k"":1431439,""r"":1431439},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":5303785,""r"":1431439},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":1186676,""r"":1431439},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":1185701,""r"":1431439}]",2000350019,Alaeddine,Derbali,Alaeddine Derbali,90899,Espérance Sportive de Tunis,90899,Espérance Sportive de Tunis,,,2005-05-19,1248894,Tunisia,,,,,,,,,16,20,,12,,,,,,,,,82,-6,5,20,,
"[{""a"":""Person"",""m"":""Person"",""k"":1431440,""r"":1431440},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":5303787,""r"":1431440},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":1186677,""r"":1431440},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":1185702,""r"":1431440}]",2000350020,Amenallah,Touati,Amenallah Touati,90899,Espérance Sportive de Tunis,90899,Espérance Sportive de Tunis,,,2008-03-08,1248894,Tunisia,,,,,54562,Redeyef,,,,,,,,,,,5,,5,20,65,-6,8,20,,
"[{""a"":""Person"",""m"":""Person"",""k"":1431441,""r"":1431441},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":5303788,""r"":1431441},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":1186678,""r"":1431441},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":1185703,""r"":1431441}]",2000350021,Selim,Najjar,Selim Najjar,90899,Espérance Sportive de Tunis,90899,Espérance Sportive de Tunis,,,,1248894,Tunisia,,,,,,,,,,,,,,,,12,,,20,,64,-6,,,,
